PATRON#|Activity_Date|LOCATION|I_TYPE
1361941|10-06-2022|hjp|1
1361941|10-06-2022|hjp|1
1361941|10-06-2022|hjp|1
1361941|10-06-2022|hjp|1
1148946|10-06-2022|mve|22
1148946|10-06-2022|cve|22
1148946|10-06-2022|mve|22
1141290|10-06-2022|hjf|1
1141290|10-06-2022|mjf|1
1141290|10-06-2022|hjnd|101
1141290|10-06-2022|hjnd|101
1141290|10-06-2022|hjnd|101
1141290|10-06-2022|mjzf|1
1284702|10-06-2022|mbn|1
1284702|10-06-2022|mb|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1141290|10-06-2022|hjx|1
1101371|10-06-2022|mc|1
1202422|10-06-2022|cmy|1
1256185|10-06-2022|hscin|1
1256185|10-06-2022|hfn|1
1342901|10-06-2022|hmag|9
1182817|10-06-2022|cfn|1
1416434|10-06-2022|cve|22
1416434|10-06-2022|cve|29
1416434|10-06-2022|cve|29
1416434|10-06-2022|cf|1
1416434|10-06-2022|cf|1
1416434|10-06-2022|mf|1
1416434|10-06-2022|hf|1
1247264|10-06-2022|mf|1
1108624|10-06-2022|mltf|1
1108624|10-06-2022|mltf|1
1425035|10-06-2022|hmag|9
1425035|10-06-2022|hmag|9
1425035|10-06-2022|hmag|9
1425035|10-06-2022|hmag|9
1351870|10-06-2022|cjx|1
1351870|10-06-2022|cjp|23
1351870|10-06-2022|cjx|23
1351870|10-06-2022|cjzxn|1
1351870|10-06-2022|cjf|1
1351870|10-06-2022|cx|1
1351870|10-06-2022|cjx|1
1351870|10-06-2022|cjx|1
1404820|10-06-2022|hx|1
1404820|10-06-2022|hx|1
1404820|10-06-2022|hx|1
1404820|10-06-2022|hx|1
1404820|10-06-2022|hx|1
1404820|10-06-2022|hvx|122
1404820|10-06-2022|hve|22
1404820|10-06-2022|hve|22
1077155|10-06-2022|cjx|1
1178394|10-06-2022|mjx|1
1077155|10-06-2022|cjx|1
1272730|10-06-2022|hmy|1
1272730|10-06-2022|hf|1
1272730|10-06-2022|hf|1
1400008|10-06-2022|cjp|1
1400008|10-06-2022|cjzf|1
1400008|10-06-2022|cjp|1
1038007|10-06-2022|h3|30
1038007|10-06-2022|hf|1
1425029|10-06-2022|mx|1
1054170|10-06-2022|mfn|1
1054170|10-06-2022|mf|1
1054170|10-06-2022|hfn|1
1054170|10-06-2022|mf|1
1054170|10-06-2022|mf|1
1426076|10-06-2022|mf|1
1378159|10-06-2022|mjpbb|1
1378159|10-06-2022|mjp|1
1378159|10-06-2022|mjp|1
1378159|10-06-2022|mjp|1
1378159|10-06-2022|mjp|1
1378159|10-06-2022|mjp|1
1378159|10-06-2022|mjpbb|1
1378159|10-06-2022|mjpbb|1
1378159|10-06-2022|mjp|1
1378159|10-06-2022|mjp|1
1378159|10-06-2022|mjp|1
1425029|10-06-2022|cx|1
1425029|10-06-2022|cx|1
1426098|10-06-2022|hvx|122
1426098|10-06-2022|hvx|122
1426098|10-06-2022|hvx|22
1352559|10-06-2022|mjp|23
1352559|10-06-2022|mjp|1
1324097|10-06-2022|zjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|hjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|mjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|cjp|1
1178394|10-06-2022|mbn|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|hjp|1
1324097|10-06-2022|cjp|1
1051877|10-06-2022|hf|1
1051877|10-06-2022|hf|1
1051877|10-06-2022|hf|1
1051877|10-06-2022|cf|1
1324097|10-06-2022|zjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|cjp|1
1324097|10-06-2022|hjp|1
1051877|10-06-2022|cltf|1
1051877|10-06-2022|cltf|1
1051877|10-06-2022|hltf|1
1169094|10-06-2022|cjf|1
1055643|10-06-2022|msx|4
1055643|10-06-2022|hsx|104
1055643|10-06-2022|hsxo|104
1055643|10-06-2022|hsx|104
1065938|10-06-2022|msci|1
1081764|10-06-2022|mfn|1
1058573|10-06-2022|cc|1
1058573|10-06-2022|mve|29
1058573|10-06-2022|cve|29
1058060|10-06-2022|mfn|1
1116960|10-06-2022|cjfn|1
1116960|10-06-2022|mx|1
1116960|10-06-2022|cjf|1
1116960|10-06-2022|cx|1
1116960|10-06-2022|cjp|1
1116960|10-06-2022|cjf|1
1180355|10-06-2022|cjzx|1
1180355|10-06-2022|cjx|1
1180355|10-06-2022|cjzf|1
1180355|10-06-2022|cjzf|1
1180355|10-06-2022|cjx|1
1180355|10-06-2022|cjx|1
1426141|10-06-2022|hjpbb|23
1426141|10-06-2022|mjpbb|23
1180355|10-06-2022|cjx|1
1180355|10-06-2022|cjx|1
1180355|10-06-2022|hx|101
1180355|10-06-2022|cjzf|1
1180355|10-06-2022|cjx|1
1180355|10-06-2022|cjzf|1
